建筑年代,物业费（元/平米）,物业类型,总价（万元）,均价（元/平米）,建筑面积,结构,住宅类别,产权性质,建筑类别,户型
1998.0,0.75,住宅,200.0,39215.686274509804,51.0,,普通住宅,个人产权,,2室1厅1厨1卫
2008.0,0.5,住宅,382.0,30560.0,125.0,,普通住宅,个人产权,,3室2厅1厨2卫
1987.0,0.5,住宅,360.0,73469.38775510204,49.0,,普通住宅,个人产权,,2室0厅1厨1卫
1993.0,0.5,住宅,368.0,75102.04081632652,49.0,,普通住宅,个人产权,,2室1厅1厨1卫
1992.0,0.5,住宅,368.0,75102.04081632652,49.0,,普通住宅,个人产权,,2室0厅1厨1卫
2001.0,0.48,住宅,480.0,57831.32530120482,83.0,,普通住宅,个人产权,,2室2厅1厨1卫
1999.0,0.9,住宅,465.0,63873.62637362638,72.8,,普通住宅,个人产权,,2室2厅1厨1卫
2000.0,0.48,住宅,600.0,60000.0,100.0,,普通住宅,个人产权,,3室2厅1厨2卫
1997.0,0.5,住宅,465.0,56024.096385542165,83.0,,普通住宅,个人产权,,3室1厅1厨1卫
2005.0,0.7,住宅,270.0,47855.3704360156,56.42,,普通住宅,个人产权,,1室1厅1厨1卫
2002.0,1.75,住宅,830.0,65873.01587301587,126.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2005.0,1.85,住宅,515.0,83064.51612903226,62.0,平层,普通住宅,个人产权,板楼,1室2厅1厨1卫
2015.0,4.9,住宅,4000.0,106666.66666666667,375.0,,普通住宅,个人产权,,4室3厅1厨4卫
2015.0,13.8,住宅,3000.0,85714.28571428571,350.0,,普通住宅,个人产权,,3室2厅1厨2卫
2016.0,12.8,住宅,1800.0,106508.87573964497,169.0,,普通住宅,个人产权,,3室2厅1厨2卫
1992.0,2.5,住宅,600.0,85034.01360544217,70.56,平层,普通住宅,个人产权,钢混,2室1厅1厨1卫
1980.0,1.3,住宅,430.0,81132.07547169812,53.0,平层,普通住宅,个人产权,钢混,2室1厅1厨1卫
1992.0,2.5,住宅,560.0,82135.52361396303,68.18,平层,普通住宅,个人产权,钢混,2室1厅1厨1卫
2008.0,8.3,住宅,400.0,52680.10009219017,75.93,平层,普通住宅,个人产权,钢混,1室2厅1厨1卫
1999.0,1.65,住宅,900.0,78260.86956521739,115.0,平层,普通住宅,个人产权,钢混,2室2厅1厨2卫
2001.0,1.75,住宅,650.0,63100.66983787982,103.01,平层,普通住宅,个人产权,钢混,2室2厅1厨1卫
2006.0,1.75,住宅,595.0,69186.04651162791,86.0,平层,普通住宅,个人产权,板楼,1室2厅1厨1卫
2005.0,1.85,住宅,595.0,69089.64235949836,86.12,平层,普通住宅,个人产权,板楼,1室2厅1厨1卫
2018.0,9.0,住宅,1180.0,91472.86821705426,129.0,平层,普通住宅,个人产权,钢混,4室2厅1厨2卫
2006.0,1.75,住宅,845.0,66872.42798353909,126.36,平层,普通住宅,个人产权,钢混,3室2厅1厨1卫
2005.0,1.75,住宅,695.0,62850.42503165129,110.58,平层,普通住宅,个人产权,钢混,3室2厅1厨1卫
2005.0,1.75,住宅,775.0,61332.70022158911,126.36,平层,普通住宅,个人产权,钢混,3室2厅1厨2卫
2004.0,1.0,住宅,410.0,53947.36842105263,76.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2012.0,1.45,住宅,240.0,34280.81702613912,70.01,平层,普通住宅,个人产权,,2室1厅1厨1卫
,0.0,住宅,55.0,6250.0,88.0,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2013.0,0.0,住宅,421.26399914991237,46807.111016656934,90.0,平层,普通住宅,商品房,钢混,3室1厅1厨1卫
2013.0,0.0,住宅,60.0,6666.666666666667,90.0,平层,普通住宅,个人产权,钢混,2室1厅1厨1卫
2013.0,0.0,住宅,65.88,7486.363636363636,88.0,平层,普通住宅,个人产权,板楼,3室1厅1厨1卫
2015.0,0.0,住宅,62.88,8384.0,75.0,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2013.0,0.0,住宅,406.0,6766.666666666667,600.0,平层,普通住宅,商品房,板楼,5室3厅1厨4卫
,0.0,住宅,37.0,8409.09090909091,44.0,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
2013.0,0.0,住宅,110.0,8148.148148148148,135.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2014.0,1.7,住宅,82.0,9318.181818181818,88.0,平层,普通住宅,商品房,钢混,3室1厅1厨2卫
2017.0,1.7,住宅,118.0,9291.338582677165,127.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2017.0,1.7,住宅,126.0,9692.307692307691,130.0,平层,普通住宅,个人产权,钢混,3室2厅1厨2卫
2017.0,1.7,住宅,92.0,10454.545454545454,88.0,平层,普通住宅,个人产权,钢混,3室2厅1厨2卫
,0.0,住宅,79.0,6320.0,125.0,平层,普通住宅,个人产权,钢混,3室2厅1厨2卫
2013.0,2.3,住宅,88.0,8800.0,100.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2016.0,2.3,住宅,129.0,9148.936170212766,141.0,平层,普通住宅,个人产权,板楼,4室2厅1厨2卫
2014.0,1.95,住宅,72.0,8470.588235294117,85.0,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2014.0,1.95,住宅,465.1690692835366,46807.11101665694,99.38,平层,普通住宅,个人产权,钢混,3室2厅1厨2卫
2014.0,1.95,住宅,118.0,8251.748251748251,143.0,平层,普通住宅,个人产权,钢混,3室2厅1厨2卫
2015.0,0.0,住宅,360.0,11650.485436893205,309.0,平层,普通住宅,商品房,板楼,5室3厅2厨5卫
2014.0,1.95,住宅,118.88,8303.415520011176,143.17,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2015.0,11.0,住宅,5800.0,151832.4607329843,382.0,平层,普通住宅,个人产权,,4室2厅2厨3卫
2001.0,1.5,住宅,410.77,30427.40740740741,135.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2005.0,1.86,住宅,630.0,65237.651444548,96.57,平层,普通住宅,个人产权,钢混,2室2厅1厨1卫
2009.0,0.4,住宅,247.0,28068.18181818182,88.0,平层,普通住宅,个人产权,平房,2室2厅1厨1卫
2015.0,1.28,住宅,435.0,38177.98841495524,113.94,平层,普通住宅,个人产权,平房,3室2厅1厨2卫
2000.0,1.0,住宅,250.0,28735.632183908045,87.0,平层,普通住宅,个人产权,平房,3室1厅1厨1卫
2005.0,0.0,住宅,320.0,31683.168316831685,101.0,平层,普通住宅,个人产权,平房,2室2厅1厨1卫
1992.0,0.4,住宅,230.0,27058.823529411766,85.0,平层,普通住宅,个人产权,平房,2室2厅1厨1卫
2016.0,2.5,住宅,320.0,37749.20372773387,84.77,平层,普通住宅,个人产权,平房,2室2厅1厨1卫
1996.0,0.5,住宅,195.0,26000.0,75.0,平层,普通住宅,个人产权,平房,2室1厅1厨1卫
1992.0,0.4,住宅,160.0,32000.0,50.0,平层,普通住宅,个人产权,平房,2室1厅1厨1卫
2019.0,2.4,住宅,370.0,37373.73737373737,99.0,平层,普通住宅,个人产权,平房,3室1厅1厨1卫
2015.0,1.28,住宅,385.0,34255.71670077409,112.39,平层,普通住宅,个人产权,平房,3室2厅1厨2卫
2015.0,1.28,住宅,348.0,42439.0243902439,82.0,平层,普通住宅,个人产权,平房,2室1厅1厨1卫
1999.0,1.2,住宅,668.0,33233.83084577115,201.0,平层,普通住宅,个人产权,平房,5室2厅1厨3卫
2012.0,1.45,住宅,550.0,37162.16216216216,148.0,平层,普通住宅,个人产权,平房,3室2厅1厨2卫
2005.0,1.2,住宅,440.0,32860.34353995519,133.9,平层,普通住宅,个人产权,平房,3室2厅1厨2卫
1992.0,0.4,住宅,152.0,29571.984435797665,51.4,平层,普通住宅,个人产权,平房,2室1厅1厨1卫
1992.0,0.4,住宅,190.0,26027.397260273974,73.0,平层,普通住宅,个人产权,平房,3室1厅1厨1卫
2016.0,2.5,住宅,295.0,40410.95890410959,73.0,平层,普通住宅,个人产权,平房,2室1厅1厨1卫
1992.0,0.4,住宅,155.0,28703.703703703704,54.0,平层,普通住宅,个人产权,平房,2室1厅1厨1卫
1992.0,0.4,住宅,145.0,31521.739130434784,46.0,平层,普通住宅,个人产权,平房,2室1厅1厨1卫
2009.0,1.4,住宅,405.0,29136.690647482013,139.0,平层,普通住宅,个人产权,平房,3室2厅1厨2卫
2016.0,2.85,住宅,230.0,25555.555555555555,90.0,平层,普通住宅,个人产权,钢混,3室2厅1厨1卫
2001.0,1.35,住宅,800.0,78431.37254901961,102.0,平层,,经济适用房,钢混,2室2厅1厨1卫
2004.0,1.4,住宅,400.0,44444.444444444445,90.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
2003.0,2.55,住宅,1180.0,90769.23076923077,130.0,平层,,商品房,板楼,3室2厅1厨2卫
2000.0,0.9,住宅,950.0,64625.85034013606,147.0,平层,,商品房,板楼,3室2厅1厨2卫
2005.0,2.15,住宅,1250.0,98425.1968503937,127.0,平层,,商品房,板楼,3室2厅1厨2卫
1996.0,0.4,住宅,260.0,50163.99768473857,51.83,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
1996.0,0.4,住宅,340.0,50875.35537932067,66.83,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2016.0,0.0,住宅,81.0,10384.615384615385,78.0,,普通住宅,商品房,,2室2厅1厨1卫
,0.0,住宅,58.0,6904.761904761905,84.0,,普通住宅,商品房,,2室1厅1厨1卫
2015.0,1.86,住宅,58.0,14146.341463414634,41.0,,普通住宅,个人产权,,2室2厅1厨1卫
2015.0,1.9,住宅,60.0,6122.448979591837,98.0,,普通住宅,商品房,,3室2厅1厨1卫
2015.0,0.0,住宅,65.0,7926.829268292683,82.0,,普通住宅,商品房,,2室2厅1厨1卫
2017.0,1.7,住宅,78.0,8863.636363636364,88.0,,普通住宅,商品房,,3室2厅1厨1卫
2013.0,2.0,住宅,154.0,17701.149425287356,87.0,,普通住宅,商品房,,2室2厅1厨1卫
1993.0,0.5,住宅,230.0,54437.869822485205,42.25,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
1992.0,0.7,住宅,220.0,55000.0,40.0,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
2004.0,2.0,住宅,1160.0,80000.0,145.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
2002.0,1.4,住宅,480.0,55172.41379310345,87.0,平层,普通住宅,个人产权,板楼,3室1厅1厨1卫
1992.0,0.7,住宅,330.0,55000.0,60.0,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
1993.0,0.0,住宅,500.0,51020.4081632653,98.0,平层,普通住宅,个人产权,板楼,3室1厅1厨1卫
2016.0,2.85,住宅,1000.0,109890.10989010989,91.0,平层,普通住宅,个人产权,板楼,2室2厅1厨3卫
1982.0,0.0,住宅,360.0,60000.0,60.0,平层,普通住宅,个人产权,板楼,2室1厅1厨1卫
1993.0,0.7,住宅,230.0,57500.0,40.0,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
2002.0,1.6,住宅,900.0,60402.68456375839,149.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
1996.0,1.2,住宅,525.0,54123.71134020619,97.0,平层,普通住宅,个人产权,板楼,3室1厅1厨1卫
1998.0,0.8,住宅,468.0,56385.5421686747,83.0,平层,普通住宅,个人产权,塔楼,3室1厅1厨1卫
2005.0,1.85,住宅,858.0,62173.913043478264,138.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
1998.0,0.7,住宅,460.0,42990.654205607476,107.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
1997.0,0.7,住宅,400.0,52631.57894736842,76.0,平层,普通住宅,个人产权,板楼,2室2厅1厨1卫
2017.0,0.6,住宅,200.0,22222.222222222223,90.0,平层,普通住宅,个人产权,钢混,2室2厅1厨1卫
2005.0,5.0,住宅,1350.0,99476.82558396581,135.71,,普通住宅,个人产权,,2室2厅0厨2卫
2003.0,0.7,住宅,680.0,37272.52795439597,182.44,复式,普通住宅,个人产权,钢混,4室2厅1厨2卫
,1.9,别墅,810.0,37850.46728971963,214.0,,,,,4室2厅1厨3卫
2015.0,4.0,住宅,55.0,12222.222222222223,45.0,复式,酒店式公寓,个人产权,板楼,2室2厅1厨1卫
2005.0,1.86,住宅,460.0,47510.844866763066,96.82,平层,普通住宅,个人产权,钢混,2室2厅1厨1卫
2002.0,2.0,住宅,1250.0,74404.76190476191,168.0,平层,普通住宅,个人产权,板楼,3室2厅1厨2卫
1996.0,0.3,住宅,278.0,64456.29492232784,43.13,平层,普通住宅,个人产权,板楼,1室1厅1厨1卫
