,地区,种类,1999年,2000年,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年,2018年
110,河南省,苹果产量,242.77,238.9,252.41,260.36,250.96,286.93,300.62,322.79,352.33,374.39,388.63,408.96,420.32,436.7,443.15,441.74,449.65,438.58,434.53,
111,河南省,苹果园面积,240.69,206.97,180.18,168.32,164.45,164.74,165.78,167.74,182.26,173.06,175.7,177.63,180.54,178.84,176.7,176.7,170.2,156.5,,
112,河南省,葡萄园面积,12.24,16.75,18.15,20.37,21.58,25.01,26.17,24.97,26.22,26.82,29.58,29.9,30.22,29.6,32.4,33.9,36.3,37.9,,
113,河南省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
114,注：水果产量包括园林水果和瓜果类产量。,水果产量,,,,,,,,,,,,,,,,,,,,
115,浙江省,果园面积,,,,,,,,,,,318.05,320.92,320.86,321.45,321.4,321.4,332.54,327.66,325.71,
116,浙江省,水果产量,422.41,170.37,516.64,494.1,568.38,632.07,577.96,650.03,701.49,747.92,712.41,701.31,712.36,703.84,715.65,714.84,740.86,724.32,751.29,
117,浙江省,苹果产量,0.1,0.08,0.09,0.11,0.08,,,0.0,,,,,,,,,,,,
118,浙江省,苹果园面积,0.35,0.33,0.24,0.21,0.19,,,,,,,,,,,,,,,
119,浙江省,葡萄园面积,4.58,5.14,6.22,7.07,8.18,9.25,9.79,10.36,12.1,14.61,16.99,20.02,22.48,25.52,27.2,30.0,31.5,32.5,,
120,浙江省,香蕉产量,,,,,,,,0.0,,,,,,,,,,,,
121,海南省,果园面积,,,,,,,,,,,170.63,174.54,182.84,179.79,171.1,171.1,162.2,160.2,165.32,
122,海南省,水果产量,117.02,105.52,187.6,182.74,193.48,190.64,220.36,247.23,306.82,325.2,350.41,375.07,403.69,428.71,439.48,413.0,405.93,395.39,405.48,
123,海南省,苹果产量,,,,,,,,0.0,,,,,,,,,,,,
124,海南省,苹果园面积,,,,,,,,,,,,,,,,,,,,
125,海南省,葡萄园面积,,,,,,,,,,,,,,,,,,,,
126,海南省,香蕉产量,35.82,60.03,91.26,85.37,84.19,73.33,91.33,108.63,142.21,151.62,159.58,172.29,189.23,209.1,202.75,160.04,140.1,125.63,127.17,
127,湖北省,果园面积,,,,,,,,,,,367.6,375.73,398.84,400.75,403.55,403.6,413.41,423.43,345.82,
128,湖北省,水果产量,590.75,215.68,672.46,621.7,611.57,542.69,566.77,625.25,654.73,686.22,725.81,778.52,855.18,885.68,920.46,972.34,966.26,1010.4,948.44,
129,湖北省,苹果产量,3.04,3.02,2.18,1.24,1.35,1.09,1.24,1.19,1.04,0.89,1.14,0.97,0.99,1.06,1.02,0.99,1.31,1.28,1.24,
130,湖北省,苹果园面积,11.04,8.98,6.78,4.29,4.19,3.6,3.3,3.2,3.04,3.34,2.21,1.68,1.94,2.01,1.6,1.6,1.2,1.3,,
